game_name,participant ID,trial_no,tool,posx,posy,success,attempt #,Gravity
Falling_B,1577,11,obj3,382.5,21.5,0,9,200
Falling_B,1577,11,obj3,295.5,21.5,0,10,200
Falling_B,1577,11,obj3,381.5,16.5,0,11,200
Falling_B,1577,11,obj2,241.5,43.5,0,12,200
Shove,1577,12,obj2,372.5,125.5,1,1,200
Backup,1577,13,obj1,279.5,134.5,0,1,200
Backup,1577,13,obj2,331.5,59.5,0,2,200
Backup,1577,13,obj3,400.5,485.5,0,3,200
Backup,1577,13,obj1,364.5,77,0,4,200
Backup,1577,13,obj2,366.5,50.5,0,5,200
Backup,1577,13,obj3,313.5,141.5,0,6,200
Backup,1577,13,obj1,348.5,32.5,0,7,200
Backup,1577,13,obj2,275.5,83.5,0,8,200
Backup,1577,13,obj1,243.5,95.5,0,9,200
Backup,1577,13,obj2,261.5,49.5,1,10,200
Unsupport,1577,14,obj3,30.5,30.5,0,1,200
Unsupport,1577,14,obj3,51.5,51.5,0,2,200
Unsupport,1577,14,obj3,64.5,31.5,0,3,200
Unsupport,1577,14,obj1,48.5,33.5,1,4,200
Launch_A,1577,15,obj2,52.5,277.5,0,1,100
Launch_A,1577,15,obj1,61.5,225.5,1,2,100
FridgeMagnet,1577,16,obj3,331.5,32.5,0,1,100
FridgeMagnet,1577,16,obj2,328.5,25.5,0,2,100
FridgeMagnet,1577,16,obj2,26.5,21.5,1,3,100
Bridge,1577,17,obj1,294.5,538.5,1,1,100
Chaining,1577,18,obj3,70.5,26.5,0,1,100
Chaining,1577,18,obj3,534.5,68.5,0,2,100
Chaining,1577,18,obj3,75.5,27.5,0,3,100
Chaining,1577,18,obj3,69.5,26.5,0,4,100
Chaining,1577,18,obj1,548.5,36.5,0,5,100
Chaining,1577,18,obj1,547.5,31.5,0,6,100
Chaining,1577,18,obj3,526.5,23.5,0,7,100
Chaining,1577,18,obj2,53.5,29.5,0,8,100
Chaining,1577,18,obj1,58.5,35.5,1,9,100
Table_A,1577,19,obj3,231.5,516.5,0,1,100
Table_A,1577,19,obj3,403.5,520.5,0,2,100
Table_A,1577,19,obj2,413.5,530.5,1,3,100
Towers_B,1577,20,obj2,345.5,41.5,0,1,100
Towers_B,1577,20,obj2,274.5,60.5,0,2,100
Towers_B,1577,20,obj2,286.5,44.5,0,3,100
Towers_B,1577,20,obj1,280.5,47.5,0,4,100
Towers_B,1577,20,obj2,295.5,41.5,0,5,100
Towers_B,1577,20,obj1,292.5,137.5,0,6,100
Towers_B,1577,20,obj2,298.5,69.5,0,7,100
Towers_B,1577,20,obj2,290.5,36.5,0,8,100
Towers_B,1577,20,obj1,340.5,178.5,0,9,100
Towers_B,1577,20,obj2,287.5,220.5,0,10,100
Towers_B,1577,20,obj2,271.5,41.5,1,11,100
Catapult,1577,21,obj2,160.5,142.5,0,1,100
Catapult,1577,21,obj2,430.5,195.5,1,2,100
DoubleDown,1577,22,obj2,371.5,27.5,0,1,400
DoubleDown,1577,22,obj1,358.5,27.5,0,2,400
DoubleDown,1577,22,obj1,362.5,248.5,0,3,400
DoubleDown,1577,22,obj1,355.5,26.5,1,4,400
SeeSaw,1577,23,obj2,315.5,549.5,1,1,400
Remove,1577,24,obj3,24.5,24.5,0,1,400
Remove,1577,24,obj3,22.5,23.5,1,2,400
Collapse,1577,25,obj1,259.5,53.5,0,1,400
Collapse,1577,25,obj1,283.5,35.5,1,2,400
Funnel,1577,26,obj2,141.5,21.5,1,1,400
Towers_A,1577,27,obj1,329.5,46.5,1,1,400
CatapultAlt,1577,28,obj1,288.5,88.5,0,1,400
CatapultAlt,1577,28,obj2,307.5,92.5,0,2,400
CatapultAlt,1577,28,obj2,359.5,40.5,0,3,400
CatapultAlt,1577,28,obj2,342.5,61.5,0,4,400
CatapultAlt,1577,28,obj2,328.5,55.5,1,5,400
Basic,1587,1,obj3,47,273,1,1,200
Basic_v2,1587,2,obj2,531,323,0,1,200
Basic_v2,1587,2,obj3,525,383,0,2,200
Basic_v2,1587,2,obj1,509,389,0,3,200
Basic_v2,1587,2,obj3,526,132,0,4,200
Basic_v2,1587,2,obj1,514,50,1,5,200
Filler,1587,3,obj2,225,283,0,1,200
Filler,1587,3,obj3,242,244,1,2,200
Backup,1587,4,obj1,478,428,0,1,200
Backup,1587,4,obj1,397,173,0,2,200
Backup,1587,4,obj2,267,134,0,3,200
Backup,1587,4,obj3,278,160,0,4,200
Backup,1587,4,obj2,262,49,1,5,200
Table_v2,1587,5,obj3,515,309,0,1,200
Table_v2,1587,5,obj1,512,89,0,2,200
Table_v2,1587,5,obj1,511,246,0,3,200
Table_v2,1587,5,obj1,361,515,0,4,200
Table_v2,1587,5,obj2,189,562,0,5,200
Table_v2,1587,5,obj1,186,529,1,6,200
Table_B,1587,6,obj3,127,380,0,1,200
Table_B,1587,6,obj2,413,546,0,2,200
Table_B,1587,6,obj1,130,348,0,3,200
Table_B,1587,6,obj3,237,423,0,4,200
Table_B,1587,6,obj1,305,431,0,5,200
Table_B,1587,6,obj3,229,518,0,6,200
Table_B,1587,6,obj3,259,525,0,7,200
Table_B,1587,6,obj2,196,400,0,8,200
Table_B,1587,6,obj3,456,517,0,9,200
Table_B,1587,6,obj1,259,542,0,10,200
Table_B,1587,6,obj1,329,545,0,11,200
Table_B,1587,6,obj2,306,554,0,12,200
Unsupport,1587,7,obj2,90,60,1,1,200
Launch_B,1587,8,obj2,356,361,0,1,200
Launch_B,1587,8,obj1,87,319,0,2,200
Launch_B,1587,8,obj3,88,322,0,3,200
Launch_B,1587,8,obj2,154,360,0,4,200
Launch_B,1587,8,obj1,102,351,0,5,200
Launch_B,1587,8,obj2,141,365,0,6,200
Launch_B,1587,8,obj2,151,360,0,7,200
Launch_B,1587,8,obj2,149,362,0,8,200
Launch_B,1587,8,obj2,158,353,0,9,200
Launch_B,1587,8,obj2,87,355,0,10,200
Launch_B,1587,8,obj3,45,357,0,11,200
Launch_B,1587,8,obj3,91,332,0,12,200
Falling_v2,1587,9,obj3,325,176,0,1,200
Falling_v2,1587,9,obj3,331,60,0,2,200
Falling_v2,1587,9,obj2,330,48,0,3,200
Falling_v2,1587,9,obj2,322,55,0,4,200
Falling_v2,1587,9,obj1,327,85,0,5,200
Falling_v2,1587,9,obj1,326,56,0,6,200
Falling_v2,1587,9,obj1,318,48,1,7,200
BridgeAlt,1587,10,obj3,312,387,1,1,200
BalanceUnder,1587,11,obj1,310,188,0,1,200
BalanceUnder,1587,11,obj3,274,113,0,2,200
BalanceUnder,1587,11,obj3,245,100,0,3,200
BalanceUnder,1587,11,obj3,317,206,0,4,200
BalanceUnder,1587,11,obj2,269,173,0,5,200
BalanceUnder,1587,11,obj2,271,27,0,6,200
BalanceUnder,1587,11,obj1,308,336,1,7,200
Falling_B,1587,12,obj2,328,179,0,1,200
Falling_B,1587,12,obj3,333,127,0,2,200
Falling_B,1587,12,obj1,338,55,0,3,200
Falling_B,1587,12,obj2,348,65,0,4,200
Falling_B,1587,12,obj1,388,164,0,5,200
Falling_B,1587,12,obj2,367,75,0,6,200
Falling_B,1587,12,obj2,371,50,0,7,200
Falling_B,1587,12,obj2,241,68,0,8,200
Falling_B,1587,12,obj1,347,58,0,9,200
Falling_B,1587,12,obj1,392,59,0,10,200
Falling_B,1587,12,obj3,388,50,0,11,200
Falling_B,1587,12,obj3,383,84,0,12,200
Balance,1587,13,obj3,248,196,0,1,200
Balance,1587,13,obj2,267,242,0,2,200
Balance,1587,13,obj3,428,206,0,3,200
Balance,1587,13,obj2,386,212,0,4,200
Balance,1587,13,obj3,299,217,0,5,200
Balance,1587,13,obj1,393,226,0,6,200
Balance,1587,13,obj1,278,229,0,7,200
Balance,1587,13,obj3,316,209,0,8,200
Balance,1587,13,obj3,404,210,0,9,200
Balance,1587,13,obj3,449,209,0,10,200
Balance,1587,13,obj3,449,197,0,11,200
Balance,1587,13,obj3,461,200,1,12,200
Shove,1587,14,obj1,349,401,1,1,200
Towers_B,1587,15,obj2,316,117,0,1,100
Towers_B,1587,15,obj3,287,377,0,2,100
Towers_B,1587,15,obj2,345,280,0,3,100
Towers_B,1587,15,obj1,351,110,0,4,100
Towers_B,1587,15,obj2,230,56,1,5,100
Catapult,1587,16,obj1,172,117,0,1,100
Catapult,1587,16,obj2,407,129,1,2,100
FridgeMagnet,1587,17,obj2,89,37,1,1,100
Bridge,1587,18,obj3,280,536,0,1,100
Bridge,1587,18,obj1,325,546,1,2,100
Chaining,1587,19,obj1,40,86,0,1,100
Chaining,1587,19,obj1,43,236,0,2,100
Chaining,1587,19,obj3,55,61,0,3,100
Chaining,1587,19,obj2,38,41,0,4,100
Chaining,1587,19,obj2,44,36,0,5,100
Chaining,1587,19,obj2,42,31,0,6,100
Chaining,1587,19,obj1,41,39,0,7,100
Chaining,1587,19,obj3,60,25,0,8,100
Chaining,1587,19,obj2,41,36,0,9,100
Chaining,1587,19,obj1,66,51,1,10,100
Table_A,1587,20,obj2,365,540,1,1,100
Launch_A,1587,21,obj1,83,218,1,1,100
Remove,1587,22,obj3,29,40,0,1,400
Remove,1587,22,obj1,34,35,1,2,400
Funnel,1587,23,obj1,147,58,0,1,400
Funnel,1587,23,obj2,120,29,1,2,400
SeeSaw,1587,24,obj2,291,550,0,1,400
SeeSaw,1587,24,obj1,245,557,0,2,400
SeeSaw,1587,24,obj3,312,552,0,3,400
SeeSaw,1587,24,obj2,362,552,0,4,400
SeeSaw,1587,24,obj2,330,545,0,5,400
SeeSaw,1587,24,obj1,328,552,0,6,400
SeeSaw,1587,24,obj3,307,538,0,7,400
SeeSaw,1587,24,obj2,382,548,0,8,400
SeeSaw,1587,24,obj1,334,553,0,9,400
SeeSaw,1587,24,obj1,334,555,0,10,400
SeeSaw,1587,24,obj1,282,552,0,11,400
SeeSaw,1587,24,obj2,294,544,0,12,400
CatapultAlt,1587,25,obj2,300,214,0,1,400
CatapultAlt,1587,25,obj2,252,44,0,2,400
CatapultAlt,1587,25,obj2,245,54,0,3,400
CatapultAlt,1587,25,obj2,291,69,1,4,400
DoubleDown,1587,26,obj1,358,39,1,1,400
Collapse,1587,27,obj2,291,179,1,1,400
Towers_A,1587,28,obj2,288,194,0,1,400
Towers_A,1587,28,obj2,279,60,1,2,400
Basic,1603,1,obj1,78,307,0,1,200
Basic,1603,1,obj1,71,301,0,2,200
Basic,1603,1,obj1,62,287,0,3,200
Basic,1603,1,obj1,78,319,0,4,200
Basic,1603,1,obj2,82,269,0,5,200
Basic,1603,1,obj1,78,181,1,6,200
Basic_v2,1603,2,obj1,525,188,0,1,200
Basic_v2,1603,2,obj1,518,240,0,2,200
Basic_v2,1603,2,obj1,519,92,1,3,200
Balance,1603,3,obj1,258,221,0,1,200
Balance,1603,3,obj2,394,221,0,2,200
Balance,1603,3,obj1,242,203,0,3,200
Balance,1603,3,obj2,267,213,0,4,200
Balance,1603,3,obj2,150,215,0,5,200
Balance,1603,3,obj1,227,204,0,6,200
Balance,1603,3,obj1,223,203,0,7,200
Balance,1603,3,obj1,219,205,0,8,200
Balance,1603,3,obj3,232,202,0,9,200
Balance,1603,3,obj3,467,258,1,10,200
Shove,1603,4,obj1,383,448,1,1,200
Backup,1603,5,obj3,513,30,0,1,200
Backup,1603,5,obj1,257,106,1,2,200
BalanceUnder,1603,6,obj3,269,288,0,1,200
BalanceUnder,1603,6,obj3,284,342,1,2,200
BridgeAlt,1603,7,obj3,315,499,1,1,200
Falling_B,1603,8,obj3,204,254,0,1,200
Falling_B,1603,8,obj1,377,253,0,2,200
Falling_B,1603,8,obj3,395,252,0,3,200
Falling_B,1603,8,obj2,408,359,0,4,200
Falling_B,1603,8,obj1,271,167,0,5,200
Falling_B,1603,8,obj1,247,221,0,6,200
Falling_B,1603,8,obj1,229,37,0,7,200
Falling_B,1603,8,obj2,228,43,1,8,200
Launch_B,1603,9,obj2,160,162,0,1,200
Launch_B,1603,9,obj3,96,289,0,2,200
Launch_B,1603,9,obj1,104,369,0,3,200
Launch_B,1603,9,obj2,100,351,0,4,200
Launch_B,1603,9,obj2,111,279,0,5,200
Launch_B,1603,9,obj2,120,137,0,6,200
Launch_B,1603,9,obj2,117,26,1,7,200
Filler,1603,10,obj3,242,255,1,1,200
Unsupport,1603,11,obj2,544,36,0,1,200
Unsupport,1603,11,obj1,54,34,1,2,200
Falling_v2,1603,12,obj3,320,354,0,1,200
Falling_v2,1603,12,obj3,302,353,1,2,200
Table_B,1603,13,obj1,296,544,1,1,200
Table_v2,1603,14,obj1,172,548,1,1,200
FridgeMagnet,1603,15,obj2,89,65,1,1,100
Towers_B,1603,16,obj3,345,113,0,1,100
Towers_B,1603,16,obj2,257,240,0,2,100
Towers_B,1603,16,obj2,256,47,0,3,100
Towers_B,1603,16,obj2,241,38,1,4,100
Chaining,1603,17,obj1,65,31,1,1,100
Bridge,1603,18,obj1,298,538,1,1,100
Launch_A,1603,19,obj2,133,57,1,1,100
Catapult,1603,20,obj2,413,212,0,1,100
Catapult,1603,20,obj2,433,64,1,2,100
Table_A,1603,21,obj1,296,542,0,1,100
Table_A,1603,21,obj2,404,567,1,2,100
SeeSaw,1603,22,obj1,316,552,1,1,400
Funnel,1603,23,obj2,470,57,1,1,400
Towers_A,1603,24,obj2,263,39,1,1,400
Collapse,1603,25,obj1,288,31,1,1,400
CatapultAlt,1603,26,obj2,257,48,0,1,400
CatapultAlt,1603,26,obj2,238,39,1,2,400
DoubleDown,1603,27,obj1,365,27,0,1,400
